iso 2자리 코드,Category,Average Minimum Surface Air Temperature,Average Mean Surface Air Temperature,Average Maximum Surface Air Temperature,Precipitation
ET,Jan,14.33,22.1,29.93,12.4
ET,Feb,15.65,23.44,31.27,14.8
ET,Mar,17.29,24.52,31.8,42.64
ET,Apr,18.39,24.96,31.58,89.94
ET,May,18.62,24.68,30.78,106.25
ET,Jun,18.46,24.16,29.91,78.27
ET,Jul,18.14,23.33,28.56,128.19
ET,Aug,17.77,23.05,28.39,143.76
ET,Sep,17.56,23.43,29.35,97.78
ET,Oct,16.5,22.93,29.42,86.51
ET,Nov,15.16,22.21,29.31,35.7
ET,Dec,14.14,21.71,29.32,13.81
