ISO,농업 및 식량안보_기업 수,재생에너지 및 에너지전환_기업 수,홍수 및 재해 대응 인프라_기업 수,기후변화 대응 및 탄소감축_협력 이력 수,물 부족 및 정수 기술_협력 이력 수,사회적 갈등 및 강제이주_협력 이력 수,자원순환 및 친환경 소재_협력 이력 수,재생에너지 및 에너지전환_협력 이력 수,친환경 교통 및 인프라_협력 이력 수,홍수 및 재해 대응 인프라_협력 이력 수
AO,0,0,0,0,0,2,0,11,0,0
BI,0,0,0,0,0,0,0,1,0,0
CG,0,0,0,0,0,0,0,4,4,0
CM,0,0,0,0,0,0,1,19,0,0
DZ,0,0,0,0,0,0,0,18,0,0
EG,3,0,0,0,0,0,0,2,0,0
ET,0,0,0,0,1,0,0,2,0,0
GA,0,0,0,0,0,0,0,7,0,0
GH,0,0,0,0,0,0,0,3,0,0
GN,0,0,0,0,0,0,0,5,0,0
KE,0,1,0,0,0,0,0,2,0,0
LY,0,0,0,0,0,0,0,1,0,0
MA,0,0,0,0,0,0,0,9,0,0
MG,0,0,0,0,0,0,0,8,0,0
MW,0,0,0,0,0,0,0,2,0,0
NG,0,0,0,1,0,0,0,9,0,1
SN,0,0,0,0,0,0,0,2,0,0
ST,0,0,0,0,0,0,0,1,0,0
TN,0,0,0,0,0,0,0,1,0,0
TZ,0,0,0,0,0,1,0,2,0,0
ZA,2,0,1,0,0,0,0,0,0,0
ZM,0,0,0,0,0,0,0,2,0,0
ZW,0,0,0,0,0,0,0,8,0,0
,0,0,0,0,0,0,0,5,0,0
